Tweet;Target;pred_target;dependencia;pred_entidad
"Empresa global   Aguas de Saltillo ha conseguido asegurar el suministro de agua apta para el consumo a los hogares de la ciudad de Saltillo México

Ofrecido por Agbar";suministro;suministro;obj;OTHER
 Apertura  Bajadas contenidas en el arranque de Wall Street;Wall Street;None;None;None
Las pensiones máximas por desgracia son una extraordinaria excepción;pensiones;pensiones;nsubj;OTHER
"Esta compañía 100 digital  ha cambiado el paradigma del mercado inmobiliario ofreciendo un precio justo y real

Ofrecido por iad_espana";compañía;compañía;nsubj;OTHER
"URGENTE  Un incidente interrumpe la planta de regasificación de Reganosa La Coruña

 Se corta el suministro de gas en Galicia y Asturias

 rubenesteller";gas;None;None;None
"Los bancos cuentan con 14000 millones para duplicar las recompras ya realizadas

 BBVA CaixaBank y Santander cuentan con programas por valor de 7000 millones de euros

 lauradlquintana";recompras;recompras;obj;OTHER
 La inflación mayorista vuelve a marcar récord en la eurozona;inflación;inflación;nsubj;OTHER
 El bitcoin vuelve a corregir con violencia y pierde los 30000 dólares;bitcoin;bitcoin;nsubj;OTHER
"Los españoles somos más pobres que antes de la subida de los precios energéticos

 tamenobregon";españoles;españoles;nsubj;OTHER
Seguros  Sí o sí El repunte de la inflación y el efecto que ésta tiene para la actividad del seguro aboca a esta industria a una retarificación al alza de las coberturas que presta Informa M_PoncedeLeon;seguro;None;None;None
Maroto defiende que el Perte del vehículo eléctrico será un gran impulso para Cataluña;vehículo eléctrico;None;None;None
El precio de la luz sube este lunes  pero se mantiene por debajo de los 200 eurosMWh;luz;None;None;None
Mercados  Coinbase y Robinhood brókeres alternativos que permiten operar con criptodivisas cotizan en mínimos históricos ante el temor de hacer frente a indemnizaciones millonarias si triunfan los pleitos contra ellos Informa Saizpena;Coinbase Robinhood;None;None;None
Minsait contratará a 4000 profesionales en España este año;Minsait;Minsait;nsubj;ORG
España perdió 337 licencias de VTC y destruyó 4056 de taxi hasta mayo;España;España;nsubj;LOC
Mercados  Las pequeñas compañías de EEUU cotizan en niveles similares a los de la crisis de 2008;compañías;compañías;nsubj;OTHER
Costa pide a las empresas un esfuerzo para subir un 20 los salarios medios en Portugal;salarios;salarios;obj;OTHER
Inversión  Los fondos que más ganan en los últimos diez años acumulan caídas pronunciadas en 2022 y se postulan como una oportunidad de inversión a largo plazo Informa Sandra_SanchezC;fondos;fondos;nsubj;OTHER
Inversión Mercados  Más de una quincena de empresas de la Bolsa española terminarán el año con más de 14000 millones de euros en caja tras restar la deuda Informa crosique11;empresas;None;None;None
Banca  Más de 80000 clientes de Santander ahorran 161 millones en diez meses a través de pequeñas reglas como el redondeo de pagos con tarjeta Informa raquel_lander;clientes;clientes;nsubj;OTHER
Marriott suspende todas sus operaciones en Rusia;Rusia;None;None;None
El mercado mundial de smartphones caerá hasta un 35 por los cierres en China;mercado;mercado;nsubj;OTHER
El precio de la luz cae este sábado un 5 y se sitúa en los 20386 eurosMWh;luz;None;None;None
Santander cuenta ya con 100000 huchas digitales;Santander;Santander;nsubj;LOC
Openbank regala hasta 1500 euros por captar nuevos clientes en hipotecas;Openbank;Openbank;nsubj;ORG
Santander añade un nuevo unicornio a su cartera y ya suma once;Santander;Santander;nsubj;LOC
RIU prevé volver a niveles de ingresos preCovid en 2022;RIU;RIU;nsubj;ORG
Las sanciones al petróleo ruso alteran el mapa energético de la UE;mapa energético;mapa;obj;OTHER
Siro anuncia que paraliza todas sus plantas por falta de acuerdo con inversores;Siro;Siro;nsubj;PER
El optimismo previo a la publicación del paro de EEUU se fue desvaneciendo y las dudas regresaron después de confirmar una suave desaceleración del ritmo de creación de empleo;empleo;None;None;None
El Ibex ha cedido un 022 hasta los 872480 puntos;Ibex;Ibex;nsubj;ORG
ÚLTIMA HORA  El Ibex pierde un 23 en un pleno de caídas en la semana;Ibex;Ibex;nsubj;ORG
"Shein enseña músculo con su primera tienda en España

Lo cuenta victormosorio en";Shein;Shein;nsubj;PER
"La transacción se ha cruzado a un precio de 11 euros por acción ligeramente por encima de la cotización actual de Indra 

Una exclusiva de pepepebravo en";transacción;transacción;nsubj;OTHER
La Sepi subiría así hasta el entorno del 2336 en el capital de Indra;Sepi;Sepi;nsubj;ORG
EXCLUSIVA  La Sepi compra el 321 que mantenía la familia March en Indra por 62 millones de euros;Sepi;None;None;None
Se estima que la banda posee una fortuna conjunta neta de unos 1450 millones de dólares;banda;banda;nsubj;OTHER
Con las entradas entre los 100 y 300 euros los Rolling están de vuelta para engrosar sus ya abultadas fortunas;Rolling;Rolling;nsubj;PER
La milmillonaria fortuna de los Rolling Stones;Rolling Stones;None;None;None
"Los empleados de Tesla no ganan para sobresaltos

Musk revela que necesita recortar el 10 de la plantilla de Tesla";plantilla Tesla;None;None;None
"El mercado ha tenido en mayo un comportamiento diferente a lo largo de la geografía española aunque las subidas han sido predominantes 

Así hasta 34 capitales han experimentado alzas en el precio de la vivienda en alquiler durante el último mes";mercado;mercado;nsubj;OTHER
El alquiler sube un 14 dónde está más caro;alquiler;alquiler;nsubj;OTHER
Los grupos de infraestructuras de telecos crecen con el boom de datos;grupos;grupos;nsubj;OTHER
El mercado cripto no acaba de recuperar el pulso alcista después de su desplome;mercado cripto;mercado;nsubj;OTHER
La crisis nos ha pillado con la economía bien saneada las empresas han conseguido competir bien en un entorno muy complicado;empresas;empresas;nsubj;OTHER
La CNMV ha suspendido la cotización de Acerinox y Aperam la compañía con sede en Luxemburgo y participada en un 409 por los Mittal ante una posible fusión entre los dos fabricantes de acero inoxidable;cotización;cotización;obj;OTHER
Amancio Ortega una de las grandes fortunas del mundo creó Pontegadea Inversiones en junio de 2001 un mes después del estreno en Bolsa de Inditex;Amancio Ortega;Amancio;nsubj;PER
La mayor operación cerrada hasta el momento por Pontegadea ha sido en Canadá La empresa que gestiona el patrimonio del magnate del textil ha comprado este año el Royal Bank Plaza por más de 800 millones;Pontegadea;Pontegadea;obj;ORG
"En apenas dos décadas Amancio Ortega ha levantado un imperio inmobiliario valorado en más de 14000 millones

Extiende su huella por España Reino Unido Estados Unidos México Canadá Italia Portugal Francia y Corea del Sur";Amancio Ortega;Amancio;nsubj;PER
"Así es el imperio inmobiliario de Amancio Ortega

Con la gasolina que le aporta cada año el dividendo de Inditex Ortega se ha convertido en el mayor inversor español inmobiliario";Amancio Ortega;None;None;None
Acerinox y Aperam suspendidas en Bolsa ante una posible fusión;Acerinox Aperam;None;None;None
ÚLTIMA HORA  Europa apunta también al alza y la Bolsa española se encuentra con referencias favorables del exterior para activar el rebote a la espera al menos de los datos de EEUU;Bolsa;Bolsa;nsubj;ORG
"ÚLTIMA HORA  El Ibex abre con subidas del 065 hasta 8800 puntos El optimismo previo a la publicación del informe oficial de empleo de EEUU despeja el camino a las subidas

Sigue la evolución de los Mercados en la Crónica de Bolsa de ";Ibex;Ibex;nsubj;ORG
Alerta del supervisor ciertas comisiones de los bancos pueden provocar fugas a las fintech;fintech;fintech;obj;OTHER
Bestinver banca y tecnología para doblar la inversión;inversión;inversión;obj;OTHER
Santander y BBVA refuerzan sus agencias de marketing con tres fichajes;Santander BBVA;Santander;nsubj;OTHER
Los bancos que incumplan las normas antiblanqueo podrían perder la licencia;bancos;bancos;nsubj;OTHER
Vuelve la tormenta a la deuda con el interés en máximos;interés;None;None;None
Shein enseña músculo con su primera tienda en España;Shein;Shein;nsubj;PER
Sacyr y Acciona Energía  principales candidatas a entrar en el Ibex;Sacyr Acciona;Sacyr;nsubj;OTHER
La firma EDM lanza su primer fondo ESG;EDM;None;None;None
Valores con la caja llena a buen resguardo de las subidas de tipos;Valores;None;None;None
Nueva York valora medida que restringe minado de bitcoin con fuentes fósiles;bitcoin;bitcoin;obj;OTHER
AcerinoxAperam una fusión con potencial doble en Bolsa;Acerinox Aperam;None;None;None
El Ibex evita el pleno semanal de caídas antes del empleo de EEUU;Ibex;Ibex;nsubj;ORG
Bestinver banca y tecnología para doblar la inversión;Bestinver;None;None;None
Vuelve la tormenta a la deuda con el interés en máximos;interés;None;None;None
El Nasdaq sube más de un 2 pese al recorte en las previsiones de Microsoft;Nasdaq;Nasdaq;nsubj;MISC
La OPEP bombeará un 50 más de petróleo a partir de julio;OPEP+;OPEP;nsubj;OTHER
El bitcoin amenaza al resto de criptomonedas;criptomodenas;None;None;None
El Ibex se atasca tras encadenar tres caídas;Ibex;Ibex;nsubj;ORG
Los fondos conservadores atraen 6500 millones pese a las pérdidas;fondos;fondos;nsubj;OTHER
Las acciones de Amazon serán 20 veces más baratas el próximo lunes;acciones;acciones;nsubj;OTHER
Wall Street suma su segunda caída consecutiva por el temor a una ralentización de la economía;Wall Street;Wall;nsubj;LOC
La deuda descuenta subidas más agresivas de tipos del BCE;tipos;None;None;None
Dr Martens pisa fuerte con su mayor subida en Bolsa;Dr Martens;Dr;nsubj;PER
El petróleo concede un respiro gracias al backwardation;petróleo;petróleo;nsubj;OTHER
El Ibex inicia junio con una minitregua;Ibex;Ibex;nsubj;ORG
Seis valores suben más del 10 en el mejor mes del año;valores;valores;nsubj;OTHER
Wall Street despide mayo cortando su racha alcista;Wall Street;Wall;nsubj;LOC
EL Ibex es la Bolsa más vulnerable de Europa según Morgan Stanley;Ibex;Ibex;nsubj;OTHER
Inditex pelea con Iberdrola el liderazgo por capitalización;Inditex;Inditex;nsubj;ORG
Bank of America y JPMorgan ganan cuota en la Bolsa española;JPMorgan;None;None;None
Hay margen de subida en la tecnología el SOX busca la parte alta del canal bajista;SOX;SOX;nsubj;MISC
IAG canalizado a la baja desde febrero de 2021;IAG;None;None;None
Telefónica rompe los 5 euros por acción en plena recta final para el dividendo;Telefónica;Telefónica;nsubj;ORG
El Ibex está fuerte pero llega exhausto a la resistencia de los 89009000;Ibex;Ibex;nsubj;MISC
Unilever gana 7000 millones en Bolsa al dar entrada en su consejo a los activistas;Unilever;Unilever;nsubj;ORG
El petróleo escala a máximos de marzo tras el embargo al crudo ruso;petróleo;petróleo;nsubj;OTHER
El Ibex vuelve a frenarse por debajo de los 9000 puntos;Ibex;Ibex;nsubj;ORG
Los fondos españoles invierten 2600 millones tras las caídas;fondos;fondos;nsubj;OTHER
El bitcoin anclado en 30000 dólares cuándo saldrá del coma;bitcoin;bitcoin;nsubj;OTHER
Hasta cuánto puede aguantar España las subidas de tipos;tipos;None;None;None
La Bolsa española la que más sube en mayo un 404;Bolsa;Bolsa;nsubj;ORG
Altia paga dividendo de 032 euros por acción el próximo día 8 de junio;Altia;Altia;nsubj;ORG
Coinbase resurge cual Ave Fénix y cierra el hueco bajista de los últimos resultados;Coinbase;Coinbase;nsubj;PER
Prometedor apoyo del STOXX Europe 600 a los máximos de 2015 y 2020;STOXX Europe;None;None;None
La nueva terra luna también se desploma en el mercado cripto;luna;None;None;None
Las tres últimas apuestas en Bolsa de Soros para ganar hasta el 110;Soros;None;None;None
Los futuros del Dax y del Euro Stoxx dejan atrás las directrices bajistas de corto plazo;Dax;None;None;None
El Ibex en racha activa el asalto a los 9000 puntos;Ibex;Ibex;nsubj;ORG
El euro se agarra a los mínimos de 2017 como a un clavo ardiendo;euro;euro;nsubj;OTHER
Por encima de los 33 euros ArcelorMittal activaría una clara señal de compra;ArcelorMittal;ArcelorMittal;nsubj;ORG
El rublo destaca en un mercado de divisas agitado por la guerra y los tipos;rublo;rublo;nsubj;OTHER
El BCE ficha cuatro cazatalentos para buscar ejecutivos;BCE;BCE;nsubj;ORG
El Ibex a dos sesiones de cerrar el mejor mes de 2022;Ibex;None;None;None
El coste de la deuda pública emitida en 2022 volvió a aumentar en mayo;deuda;None;None;None
La guerra y el euribor amenazan el frenético ritmo de actividad hipotecaria;actividad hipotecaria;None;None;None
El mercado ya descuenta peores resultados;mercado;mercado;nsubj;OTHER
El Nasdaq sube otro 2;Nasdaq;Nasdaq;nsubj;MISC
Dow Jones busca cortar su peor racha desde 1923;Dow Jones;Dow;nsubj;PER
ACS muy cerca ya de la importante resistencia de los 272725 euros;ACS;ACS;nsubj;ORG
Sabadell logra al fin luz verde de los analistas para superar el euro por acción;Sabadell;Sabadell;nsubj;LOC
El miedo extremo que mantiene bloqueado el bitcoin;bitcoin;bitcoin;obj;OTHER
Ahora sí el Dax asoma la cabeza por encima de la directriz bajista;Dax;Dax;nsubj;MISC
Los mercados mundiales en alerta;mercados;None;None;None
El Ibex sin rumbo claro busca el pleno de subidas en la semana;Ibex;Ibex;nsubj;ORG
Redegal prepara su salto al BME para crecer con compras;Redegal;Redegal;nsubj;ORG
Diez valores disparados en Bolsa por la viruela del mono;valores;None;None;None
Acerinox Amadeus y BBVA con fuerza para entrar en verde en 2022;Acerinox;None;None;None
El Nasdaq sube un 2;Nasdaq;Nasdaq;nsubj;MISC
Dow Jones enfila su quinta sesión consecutiva al alza;Dow Jones;Dow;nsubj;PER
Inditex se dispara un 5 en Bolsa por las buenas previsiones;Inditex;Inditex;nsubj;ORG
CaixaBank a solo un 10 de los máximos históricos;CaixaBank;None;None;None
Incentivos incorrectos para los precios del carbono;carbono;None;None;None
Cuatroochenta aumenta un 26 las ventas en el primer trimestre;Cuatroochenta;Cuatroochenta;nsubj;ORG
La alianza con Inditex dispara a una empresa australiana;empresa;empresa;obj;OTHER
Las small caps estadounidenses construyen un suelo en los máximos prepandemia;samll caps;None;None;None
Óptima ecuación rentabilidadriesgo en LVMH ahora o nunca;LVMH;None;None;None
Solaria gana el pulso a los bajistas con sus subidas;Solaria;Solaria;nsubj;PER
Javier Illán Millenium será la tercera mayor Socimi del Continuo;Millenium;None;None;None
Los 8900 del Ibex 35 una resistencia colosal;Ibex;None;None;None
Técnicamente se dan las condiciones para que los bonos construyan un importante rebote;bonos;bonos;nsubj;OTHER
El Ibex pone en duda su quinta subida consecutiva;Ibex;Ibex;nsubj;ORG
Un tesoro escondido en Europa que puede escalar hasta un 250;tesoro;None;None;None
Las Bolsas más baratas para resistir nuevas embestidas;Bolsas;None;None;None
El Nasdaq repunta un 2 tras las actas de la Fed;Nasdaq;Nasdaq;nsubj;MISC
La Fed apunta a dos subidas más de los tipos del 05 en junio y julio;Fed;Fed;nsubj;ORG
La fortuna de Elon Musk cae por debajo de los 200000 millones de dólares;fortuna;fortuna;nsubj;OTHER
Aena y el interminable lateral que dura ya 18 meses;Aena;None;None;None
Bankinter puede batir los máximos históricos en cualquier momento;Bankinter;Bankinter;nsubj;ORG
Repsol alcanza un nuevo techo en Bolsa y los analistas auguran más subidas;Repsol;Repsol;nsubj;ORG
Red Eléctrica técnicamente en subida libre absoluta;Red Eléctrica;None;None;None
Telefónica continúa imparable a por los máximos prepandemia y más allá;Telefónica;Telefónica;nsubj;ORG
La deuda en racha ante una de sus mayores oportunidades en 15 años;deuda;None;None;None
Red Eléctrica ataca los 20 euros y despierta a los bajistas;Red Eléctrica;Red;nsubj;ORG
Los bancos del Ibex refugios y nichos de rentabilidad de hasta el 48;bancos;None;None;None
Microsoft o cuando en la base del canal se compra no se vende;Microsoft;Microsoft;nsubj;ORG
El Ibex apunta a los 8700 puntos en sus subidas;Ibex;Ibex;nsubj;ORG
El banco digital de JPMorgan podría perder 1000 millones en el extranjero;JPMorgan;None;None;None
El escenario que haría caer a la Bolsa americana otro 43;Bolsa;None;None;None
El Nasdaq se desinfla un 3 arrastrado por Snapchat;Nasdaq;Nasdaq;nsubj;MISC
El revés a las eléctricas británicas hace mella también en el Ibex;Ibex;None;None;None
Lagarde acelera por segundo día al euro que se aleja de la paridad;euro;euro;obj;OTHER
IAG y el resto de aerolíneas arrastradas por la dilución de Air France;aerolíneas;None;None;None
Enésimo encontronazo del Dax con la directriz bajista;Dax;None;None;None
El Ibex pisa el freno;Ibex;Ibex;nsubj;ORG
Iberdrola calienta motores con la mirada puesta en los máximos históricos;Iberdrola;Iberdrola;nsubj;ORG
Ganadores y perdedores ante las subidas de tipos del BCE;tipos;None;None;None
BUX potencia el negocio en España con el fichaje de un nuevo responsable en España;negocio;negocio;obj;OTHER
El euro coge aire tras el acelerón del BCE;euro;euro;nsubj;OTHER
El español que controla 80000 millones en activos desde Wall Street;español;None;None;None
Fidere EiDF Vytrus pequeños que se disparan más del 100;pequeños;que;nsubj;OTHER
Rastreator avanza en su modelo híbrido y tendrá al menos 15 oficinas físicas en 2023;Rastreator;Rastreator;nsubj;ORG
Los hedge funds reconstruyen sus carteras para frenar la sangría de 2022;hedges funds;hedge;nsubj;OTHER
El Dow Jones rebota un 2 y se aleja del mercado bajista;Dow Jones;Dow;nsubj;MISC
Lagarde anticipa el fin de los tipos negativos en septiembre;tipos;None;None;None
El dólar se agarra a los mínimos de 2017 como a un clavo ardiendo;dólar;dólar;nsubj;OTHER
Alcistas y bajistas chocan en el valor disparado por la viruela del mono;valor;None;None;None
La tendencia sigue siendo alcista en el petróleo pero el riesgo macro es importante;petróleo;None;None;None
El Ibex a por los 8500 puntos con el tirón de Gamesa;Ibex;None;None;None
Este es el fondo más rentable desde que comenzó la guerra de Ucrania;fondo;None;None;None
Empresas y bancos recortan el plazo de sus bonos y se rascan el bolsillo para tentar a los inversores;bancos;None;None;None
Solo por encima de los 8900 tendremos un antes y un después en el Ibex;Ibex;None;None;None
La moda de la recompra de acciones cala en Europa;recompra;None;None;None
Sacyr y Acciona Energía favoritos para saltar al Ibex;Sacyr;Sacyr;nsubj;ORG
Las salidas a Bolsa se frenan con la valoración de las empresas mermada;salidas;salidas;nsubj;OTHER
Tesla salida del ESG y caída del 13;Tesla;None;None;None
Las acciones del Intercity caen a su valor más bajo tras su ascenso;acciones;acciones;nsubj;OTHER
Pequeños valores con tirón bursátil;valores;None;None;None
Dónde invertir cuando la economía pisa el freno;economía;economía;nsubj;OTHER
El euribor escala máximos desde 2014 y agita el negocio hipotecario;euribor;None;None;None
Qué podemos esperar de las Bolsas tras las recientes caídas;Bolsas;None;None;None
CaixaBank pierde tres puestos por peso en el Ibex 35;CaixaBank;CaixaBank;nsubj;ORG
Valores para escapar de la tormenta;Valores;None;None;None
Guía sobre el impacto de la subida de tipos;tipos;None;None;None
El Nasdaq repunta un 2;Nasdaq;Nasdaq;nsubj;MISC
El SP 500 enfila su peor semana desde marzo de 2020;S&P 500;None;None;None
Iberdrola da un dividendo extra tras lograr más del 70 de quórum en la junta;Iberdrola;Iberdrola;nsubj;ORG
La renta variable aún no ha alcanzado el momento de capitulación;renta variable;renta;nsubj;OTHER
El Ibex quiere recuperar los 8100 en la cuádruple hora bruja;Ibex;Ibex;nsubj;ORG
Bolsas europeas al borde de una fase bajista;Bolsas;None;None;None
Qué dos depósitos a un año rompen al alza el listón del 1 TAE;depósitos;depósitos;nsubj;OTHER
La gran banca española deja a cero las emisiones de capital por primera vez en la historia;emisiones;emisiones;obj;OTHER
La pequeña joya española que sube un 60 en el año y espera continuar su rally;joya;None;None;None
Este fondo gana más del 100 en tres años invirtiendo solo en tres sectores;fondo;fondo;nsubj;OTHER
El Nasdaq se desploma un 4;Nasdaq;Nasdaq;nsubj;MISC
El Dow Jones ya cae casi un 20 desde máximos;Dow Jones;Dow;nsubj;ORG
El euro se acerca a la paridad;euro;euro;nsubj;OTHER
La libra cae;libra;libra;nsubj;OTHER
El franco suizo se dispara;franco suizo;franco;nsubj;OTHER
El Banco de Inglaterra encadena su quinta subida de tipos;tipos;None;None;None
Por qué la Bolsa sigue cayendo tras los bancos centrales;Bolsa;Bolsa;nsubj;ORG
Las claves para la recuperación del bitcoin y del criptomercado;bitcoin;None;None;None
La CNMV suspende la cotización de Ezentis tras pedir un rescate urgente a la Sepi;Ezentis;None;None;None
Los seis puntos fuertes del Ibex frente al resto de índices europeos;Ibex;None;None;None
El Ibex sin un rumbo claro después de la Fed;Ibex;None;None;None
La Fed sube los tipos de interés un 075 el mayor salto desde 1994;tipos;tipos;obj;OTHER
El precio del gas se dispara un 20 por los recortes en el suministro de Gazprom;gas;None;None;None
Las grandes tecnológicas impulsan a Wall Street antes de la decisión de la Fed;Wall Street;Wall;obj;ORG
Acerinox descarta una opa hostil de Aperam y sigue buscando oportunidades para crecer;Acerinox;Acerinox;nsubj;ORG
El bitcoin en caída libre baja a 20000 dólares antes de la Fed;bitcoin;bitcoin;nsubj;OTHER
Las mejores hipotecas fijas ceden a la presión y suben precios;hipotecas;hipotecas;nsubj;OTHER
Nunsys saldrá a bolsa este verano;Nunsys;Nunsys;nsubj;ORG
El Ibex en vilo por la Fed;Ibex;None;None;None
BlackRock no invertirá más en Bolsa en 12 meses;BlackRock;BlackRock;nsubj;ORG
Los cinco frentes abiertos que anticipan un verano complicado en los mercados;mercados;None;None;None
Por qué hay que tener en el radar a las compañías que dejan el Ibex pueden subir hasta un 45;compañías;compañías;obj;OTHER
La prima de riesgo regresa para sacudir a la Bolsa española;Bolsa;Bolsa;obj;ORG
La libra se desploma a mínimos de marzo de 2020;libra;libra;nsubj;OTHER
Tressis ve oportunidades de inversión en mercados revueltos pero con prudencia;Tressis;Tressis;nsubj;ORG
Wall Street corta su sangría y amaga con el rebote;Wall Street;Wall;nsubj;LOC
La Fed puede poner sobre la mesa una subida de tipos de hasta el 075;tipos;None;None;None
Los fondos internacionales aprovechan las caídas en dos empresas españolas;fondos;fondos;nsubj;OTHER
El bitcoin ahonda mínimos en su segundo día de desplomes del 10;bitcoin;bitcoin;nsubj;OTHER
El Ibex toma aire y busca al fin el rebote;Ibex;Ibex;nsubj;ORG
Los fondos reactivan su interés por la banca ante la subida de tipos;tipos;None;None;None
Temor extendido por la lucha contra la inflación;inflación;None;None;None
Cuatro valores del Ibex para aprovechar las recompras de acciones;valores;None;None;None
La banca pierde 17000 millones de valor en Bolsa en cinco sesiones;banca;banca;nsubj;OTHER
Binance suspende temporalmente las retiradas de bitcoin debido a un atasco;Binance;Binance;nsubj;PER
La junta de accionistas aprueba la opa de exclusión sobre Greenalia;Greenalia;None;None;None
El corralito de Celsius agrava las caídas en el mercado cripto;mercado cripto;None;None;None
CaixaBank pierde tres puestos por peso en el Ibex 35;CaixaBank;CaixaBank;nsubj;ORG
Valores para escapar de la tormenta;Valores;None;None;None
Guía sobre el impacto de la subida de tipos;tipos;None;None;None
El Nasdaq repunta un 2;Nasdaq;Nasdaq;nsubj;MISC
El SP 500 enfila su peor semana desde marzo de 2020;S&P 500;None;None;None
Iberdrola da un dividendo extra tras lograr más del 70 de quórum en la junta;Iberdrola;Iberdrola;nsubj;ORG
La renta variable aún no ha alcanzado el momento de capitulación;renta variable;renta;nsubj;OTHER
El Ibex quiere recuperar los 8100 en la cuádruple hora bruja;Ibex;Ibex;nsubj;ORG
Bolsas europeas al borde de una fase bajista;Bolsas;None;None;None
Qué dos depósitos a un año rompen al alza el listón del 1 TAE;depósitos;depósitos;nsubj;OTHER
La gran banca española deja a cero las emisiones de capital por primera vez en la historia;emisiones;emisiones;obj;OTHER
La pequeña joya española que sube un 60 en el año y espera continuar su rally;joya;None;None;None
Este fondo gana más del 100 en tres años invirtiendo solo en tres sectores;fondo;fondo;nsubj;OTHER
El Nasdaq se desploma un 4;Nasdaq;Nasdaq;nsubj;MISC
El Dow Jones ya cae casi un 20 desde máximos;Dow Jones;Dow;nsubj;ORG
El euro se acerca a la paridad;euro;euro;nsubj;OTHER
La libra cae;libra;libra;nsubj;OTHER
El franco suizo se dispara;franco suizo;franco;nsubj;OTHER
El Banco de Inglaterra encadena su quinta subida de tipos;tipos;None;None;None
Por qué la Bolsa sigue cayendo tras los bancos centrales;Bolsa;Bolsa;nsubj;ORG
Las claves para la recuperación del bitcoin y del criptomercado;bitcoin;None;None;None
La CNMV suspende la cotización de Ezentis tras pedir un rescate urgente a la Sepi;Ezentis;None;None;None
Los seis puntos fuertes del Ibex frente al resto de índices europeos;Ibex;None;None;None
El Ibex sin un rumbo claro después de la Fed;Ibex;None;None;None
La Fed sube los tipos de interés un 075 el mayor salto desde 1994;tipos;tipos;obj;OTHER
El precio del gas se dispara un 20 por los recortes en el suministro de Gazprom;gas;None;None;None
Las grandes tecnológicas impulsan a Wall Street antes de la decisión de la Fed;Wall Street;Wall;obj;ORG
Acerinox descarta una opa hostil de Aperam y sigue buscando oportunidades para crecer;Acerinox;Acerinox;nsubj;ORG
El bitcoin en caída libre baja a 20000 dólares antes de la Fed;bitcoin;bitcoin;nsubj;OTHER
Las mejores hipotecas fijas ceden a la presión y suben precios;hipotecas;hipotecas;nsubj;OTHER
Nunsys saldrá a bolsa este verano;Nunsys;Nunsys;nsubj;ORG
El Ibex en vilo por la Fed;Ibex;None;None;None
BlackRock no invertirá más en Bolsa en 12 meses;BlackRock;BlackRock;nsubj;ORG
Los cinco frentes abiertos que anticipan un verano complicado en los mercados;mercados;None;None;None
Por qué hay que tener en el radar a las compañías que dejan el Ibex pueden subir hasta un 45;compañías;compañías;obj;OTHER
La prima de riesgo regresa para sacudir a la Bolsa española;Bolsa;Bolsa;obj;ORG
La libra se desploma a mínimos de marzo de 2020;libra;libra;nsubj;OTHER
Tressis ve oportunidades de inversión en mercados revueltos pero con prudencia;Tressis;Tressis;nsubj;ORG
Wall Street corta su sangría y amaga con el rebote;Wall Street;Wall;nsubj;LOC
La Fed puede poner sobre la mesa una subida de tipos de hasta el 075;tipos;None;None;None
Los fondos internacionales aprovechan las caídas en dos empresas españolas;fondos;fondos;nsubj;OTHER
El bitcoin ahonda mínimos en su segundo día de desplomes del 10;bitcoin;bitcoin;nsubj;OTHER
El Ibex toma aire y busca al fin el rebote;Ibex;Ibex;nsubj;ORG
Los fondos reactivan su interés por la banca ante la subida de tipos;tipos;None;None;None
Temor extendido por la lucha contra la inflación;inflación;None;None;None
Cuatro valores del Ibex para aprovechar las recompras de acciones;valores;None;None;None
La banca pierde 17000 millones de valor en Bolsa en cinco sesiones;banca;banca;nsubj;OTHER
Binance suspende temporalmente las retiradas de bitcoin debido a un atasco;Binance;Binance;nsubj;PER
La junta de accionistas aprueba la opa de exclusión sobre Greenalia;Greenalia;None;None;None
El corralito de Celsius agrava las caídas en el mercado cripto;mercado cripto;None;None;None
Díaz anuncia que está casi listo el borrador para la reforma de los derechos de las empleadas de hogar;empleadas hogar;None;None;None
Renfe reclama al Gobierno la implantación de peajes en las autovías para impulsar el tren;peajes;None;None;None
El cambio de política monetaria instala al bitcoin en una montaña rusa;bitcoin ;bitcoin;obj;OTHER
Los supermercados piden bajar impuestos para frenar la subida de precios Se nos han duplicado los costes;impuestos;impuestos;obj;OTHER
España manda gas a Europa al máximo de su capacidad para suplir los suministros de Rusia;gas;gas;obj;OTHER
ERC usa la ley rider para pedir el traspaso de competencias de la Inspección a Cataluña;Cataluña;None;None;None
Alemania sufre un IPC en abril del 74 el mayor en cuarenta años;Alemania ;Alemania;nsubj;OTHER
El euríbor encarece las hipotecas más de 400 euros de media al año y las cuotas seguirán subiendo en mayo;hipotecas;hipotecas;obj;OTHER
La Comisión no se fía del Gobierno y esperará a ver qué aprueba antes de avalar el tope del gas;gas;None;None;None
La factura en subidas salariales a los funcionarios asciende a los 10725 millones con Sánchez;funcionarios;None;None;None
Correos encara su refundación convertida en un polvorín;Correos;Correos;nsubj;ORG
China dispara sus importaciones desde Rusia pese a la guerra;China;China;nsubj;ORG
La CEOE avisa a las empresas la subida de sueldos debe ligarse al empleo y la productividad;sueldos;None;None;None
Hasta tres subidas de tipos este año o por qué debemos prepararnos para un periodo largo de alta inflación;tipos;None;None;None
Más de un millón de ofertas de empleo se quedarán sin cubrir en España por déficit de profesionales;empleo;None;None;None
Telefónica se consolida en el mercado alemán con la compra de la alemana BEterna por 350 millones;Telefónica ;Telefónica;nsubj;OTHER
Un laberinto burocrático de hasta ocho meses para acceder a los fondos europeos;fondos ;fondos;obj;OTHER
Los bancos aplicaron comisiones de mantenimiento de hasta 60 euros en el primer trimestre;bancos;bancos;nsubj;OTHER
